city,year,GDP,AQI value
Albuquerque(New Mexico),2010,37070.453,62.10410959
Albuquerque(New Mexico),2011,37026.897,68.62739726
Albuquerque(New Mexico),2012,37344.986,66.46174863
Albuquerque(New Mexico),2013,37178.685,58.00821918
Albuquerque(New Mexico),2014,38505.467,53.14520548
Albuquerque(New Mexico),2015,39669.27,52.34246575
Albuquerque(New Mexico),2016,40800.578,54.05191257
Albuquerque(New Mexico),2017,41311.756,56.43013699
Albuquerque(New Mexico),2018,43087.65,60.8
Albuquerque(New Mexico),2019,45332.26,56.12328767
Albuquerque(New Mexico),2020,45055.535,58.16393443
Baton Rouge(Louisiana),2010,43244.155,64.60547945
Baton Rouge(Louisiana),2011,50493.014,63.93972603
Baton Rouge(Louisiana),2012,52351.595,59.08743169
Baton Rouge(Louisiana),2013,52394.891,51.36164384
Baton Rouge(Louisiana),2014,58565.574,55.22739726
Baton Rouge(Louisiana),2015,58296.202,56.24383562
Baton Rouge(Louisiana),2016,53709.022,53.2431694
Baton Rouge(Louisiana),2017,53032.349,49.15068493
Baton Rouge(Louisiana),2018,57916.449,51.1369863
Baton Rouge(Louisiana),2019,56021.453,49.78082192
Baton Rouge(Louisiana),2020,52787.892,46.69398907
Bismarck(North Dakota),2010,5143.733,42.09041096
Bismarck(North Dakota),2011,5577.684,38.51232877
Bismarck(North Dakota),2012,6468.246,39.72131148
Bismarck(North Dakota),2013,6705.586,40.01917808
Bismarck(North Dakota),2014,7402.681,38.32876712
Bismarck(North Dakota),2015,7775.643,41.01643836
Bismarck(North Dakota),2016,7423.536,34.78415301
Bismarck(North Dakota),2017,7509.554,41.02191781
Bismarck(North Dakota),2018,7581.651,42.60273973
Bismarck(North Dakota),2019,7666.497,38.41643836
Bismarck(North Dakota),2020,7509.735,38.16939891
Charlotte(n.c),2010,112359.74,63.01917808
Charlotte(n.c),2011,119986.73,62.06849315
Charlotte(n.c),2012,130053.823,56.72404372
Charlotte(n.c),2013,132613.851,46.92328767
Charlotte(n.c),2014,140082.542,50.21917808
Charlotte(n.c),2015,149619.312,51.69589041
Charlotte(n.c),2016,157078.376,50.64480874
Charlotte(n.c),2017,168758.726,49.84109589
Charlotte(n.c),2018,175993.277,48.52328767
Charlotte(n.c),2019,184482.639,54.35342466
Charlotte(n.c),2020,184818.577,43.34246575
chicago(Illinois),2010,523098.041,72.41369863
chicago(Illinois),2011,542384.78,66.32328767
chicago(Illinois),2012,570954.874,71.73497268
chicago(Illinois),2013,583070.72,61.9369863
chicago(Illinois),2014,609478.18,64.66027397
chicago(Illinois),2015,636938.865,60.69863014
chicago(Illinois),2016,647455.652,59.66666667
chicago(Illinois),2017,667153.495,58.84383562
chicago(Illinois),2018,701954.968,62.4630137
chicago(Illinois),2019,721906.95,58.10136986
chicago(Illinois),2020,692988.237,60.10655738
Columbus(Ohio),2010,91044.036,55.28219178
Columbus(Ohio),2011,95872.717,53.9890411
Columbus(Ohio),2012,101853.495,56.15846995
Columbus(Ohio),2013,106767.899,47.73424658
Columbus(Ohio),2014,112174.074,49.31506849
Columbus(Ohio),2015,116754.359,46.56986301
Columbus(Ohio),2016,121360.811,44.96448087
Columbus(Ohio),2017,126295.171,43.05753425
Columbus(Ohio),2018,131461.913,45.77260274
Columbus(Ohio),2019,137648.916,48.0109589
Columbus(Ohio),2020,137259.944,42.69945355
Denver(Colorado),2010,142517.164,67.60273973
Denver(Colorado),2011,147392.855,70.5260274
Denver(Colorado),2012,154899.048,71.93442623
Denver(Colorado),2013,164035.645,69.9260274
Denver(Colorado),2014,173826.485,67.67123288
Denver(Colorado),2015,184611.894,67.1369863
Denver(Colorado),2016,190857.987,66.90163934
Denver(Colorado),2017,199940.107,68.7260274
Denver(Colorado),2018,213146.127,71.97534247
Denver(Colorado),2019,227259.597,64.80547945
Denver(Colorado),2020,223145.76,65.49180328
Montana(state),2010,38336.1,34.32328767
Montana(state),2011,40995.1,43.16438356
Montana(state),2012,42340.9,45.27868852
Montana(state),2013,43687.9,39.32054795
Montana(state),2014,45177.2,44.06575342
Montana(state),2015,46604.1,47.12328767
Montana(state),2016,45490.9,42.25409836
Montana(state),2017,48439.5,56.06575342
Montana(state),2018,50903.8,45.56986301
Montana(state),2019,51789.3,44.10410959
Montana(state),2020,51508.8,43.42936288
Houston(Texas),2010,353397.184,65.85205479
Houston(Texas),2011,382941.351,69
Houston(Texas),2012,406972.648,65.68579235
Houston(Texas),2013,429918.372,59.31506849
Houston(Texas),2014,441959.625,58.10136986
Houston(Texas),2015,461490.275,63.98630137
Houston(Texas),2016,453323.711,58.35245902
Houston(Texas),2017,473076.363,57.8109589
Houston(Texas),2018,505889.766,58.86575342
Houston(Texas),2019,509311.54,60.15890411
Houston(Texas),2020,488164.627,57.70765027
Jacksonville(florida),2010,58669.966,48.13424658
Jacksonville(florida),2011,58994.346,47.42191781
Jacksonville(florida),2012,60830.433,40.75136612
Jacksonville(florida),2013,63804.05,41.1369863
Jacksonville(florida),2014,66681.774,46.40547945
Jacksonville(florida),2015,71009.831,41.56164384
Jacksonville(florida),2016,74788.031,44.99180328
Jacksonville(florida),2017,78977.582,44.01643836
Jacksonville(florida),2018,83688.402,45.43561644
Jacksonville(florida),2019,89388.127,45.86027397
Jacksonville(florida),2020,91023.328,44.56010929
Las Vegas(Nevada),2010,86533.192,62.80273973
Las Vegas(Nevada),2011,88771.829,66.0739726
Las Vegas(Nevada),2012,89890.207,71.29508197
Las Vegas(Nevada),2013,93111.625,67.04657534
Las Vegas(Nevada),2014,96952.928,63.02465753
Las Vegas(Nevada),2015,104164.814,62.90684932
Las Vegas(Nevada),2016,108924.516,63.49453552
Las Vegas(Nevada),2017,113668.85,63.88219178
Las Vegas(Nevada),2018,122797.372,67.88767123
Las Vegas(Nevada),2019,131294.377,59.01917808
Las Vegas(Nevada),2020,119386.931,65.23770492
Los Angeles,2010,721432.807,87.01369863
Los Angeles,2011,742349.632,92.64931507
Los Angeles,2012,770616.431,92.13387978
Los Angeles,2013,799688.139,87.89589041
Los Angeles,2014,833317.955,89.95890411
Los Angeles,2015,882307.124,91.67123288
Los Angeles,2016,910277.065,86.7568306
Los Angeles,2017,957632.371,92.15616438
Los Angeles,2018,1006224.798,85.95890411
Los Angeles,2019,1055570.39,82.62739726
Los Angeles,2020,1007037.066,97.85245902
philadelphia,2010,343539.465,68.76986301
philadelphia,2011,351690.659,67.10684932
philadelphia,2012,367778.658,67.46448087
philadelphia,2013,377541.289,61.46575342
philadelphia,2014,394728.109,63.40821918
philadelphia,2015,407824.145,63.57534247
philadelphia,2016,414883.706,61.41530055
philadelphia,2017,418695.981,59.15890411
philadelphia,2018,435423.852,59.39452055
philadelphia,2019,450742.192,55.62739726
philadelphia,2020,439055.118,51.53005464
Phoenix(Arizona),2010,178397.036,82.35068493
Phoenix(Arizona),2011,185788.925,121.5972603
Phoenix(Arizona),2012,195823.019,93.72677596
Phoenix(Arizona),2013,201280.704,91.04657534
Phoenix(Arizona),2014,209291.466,111.2438356
Phoenix(Arizona),2015,219956.597,92.78356164
Phoenix(Arizona),2016,230743.32,83.32240437
Phoenix(Arizona),2017,243103.394,87.2739726
Phoenix(Arizona),2018,259286.475,92.63287671
Phoenix(Arizona),2019,276914.305,89.8739726
Phoenix(Arizona),2020,281004.837,138.0491803
new york,2010,1288303.129,69.31506849
new york,2011,1312974.304,67.64931507
new york,2012,1400779.267,64.06830601
new york,2013,1445252.232,59.74520548
new york,2014,1507782.786,59.50136986
new york,2015,1570332.745,63.03835616
new york,2016,1638128.941,59.81420765
new york,2017,1690244.554,57.86849315
new york,2018,1790858.079,58.93424658
new york,2019,1872165.505,56.84931507
new york,2020,1809323.397,52.6557377
San Francisco,2010,316779.481,53.03013699
San Francisco,2011,329715.792,54.98356164
San Francisco,2012,363995.871,50.72677596
San Francisco,2013,382609.214,55.34794521
San Francisco,2014,412207.012,52.24109589
San Francisco,2015,443406.281,53.57260274
San Francisco,2016,472395.545,52.16120219
San Francisco,2017,519358.95,56.4109589
San Francisco,2018,562046.311,59
San Francisco,2019,595294.62,47.82191781
San Francisco,2020,588335.543,54.41803279
Seattle(Washington),2010,240147.409,45.14794521
Seattle(Washington),2011,251468.132,50.05479452
Seattle(Washington),2012,269458.587,49.69945355
Seattle(Washington),2013,285068.194,54.05205479
Seattle(Washington),2014,302314.756,51.35068493
Seattle(Washington),2015,320665.748,54.48219178
Seattle(Washington),2016,336256.816,46.06010929
Seattle(Washington),2017,360610.815,56.76438356
Seattle(Washington),2018,393634.702,52.9260274
Seattle(Washington),2019,419475.451,48.72328767
Seattle(Washington),2020,426939.963,50.3579235
Topeka(Kansas),2010,9582.009,42.12328767
Topeka(Kansas),2011,9950.025,46.07945205
Topeka(Kansas),2012,10062.807,48.45081967
Topeka(Kansas),2013,9805.047,39.73972603
Topeka(Kansas),2014,10032.585,39.16438356
Topeka(Kansas),2015,10122.478,37.69863014
Topeka(Kansas),2016,10327.657,37.6010929
Topeka(Kansas),2017,10395.88,40.7369863
Topeka(Kansas),2018,10797.727,43.39726027
Topeka(Kansas),2019,10575.421,42.2109589
Topeka(Kansas),2020,10566.441,41.78947368
