country,code,year,GDP,,,,,,,,,,,,,,,,,,
United States,USA,2001,1.06E+13,,,,,,,,,,,,,,,,,,
United States,USA,2002,1.09E+13,,,,,,,,,,,,,,,,,,
United States,USA,2003,1.15E+13,,,,,,,,,,,,,,,,,,
United States,USA,2004,1.22E+13,,,,,,,,,,,,,,,,,,
United States,USA,2005,1.30E+13,,,,,,,,,,,,,,,,,,
United States,USA,2006,1.38E+13,,,,,,,,,,,,,,,,,,
United States,USA,2007,1.45E+13,,,,,,,,,,,,,,,,,,
United States,USA,2008,1.47E+13,,,,,,,,,,,,,,,,,,
United States,USA,2009,1.44E+13,,,,,,,,,,,,,,,,,,
United States,USA,2010,1.50E+13,,,,,,,,,,,,,,,,,,
United States,USA,2011,1.55E+13,,,,,,,,,,,,,,,,,,
United States,USA,2012,1.62E+13,,,,,,,,,,,,,,,,,,
United States,USA,2013,1.68E+13,,,,,,,,,,,,,,,,,,
United States,USA,2014,1.75E+13,,,,,,,,,,,,,,,,,,
United States,USA,2015,1.82E+13,,,,,,,,,,,,,,,,,,
United States,USA,2016,1.87E+13,,,,,,,,,,,,,,,,,,
United States,USA,2017,1.95E+13,,,,,,,,,,,,,,,,,,
United States,USA,2018,2.06E+13,,,,,,,,,,,,,,,,,,
United States,USA,2019,2.14E+13,,,,,,,,,,,,,,,,,,
United States,USA,2020,2.10E+13,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2001,3.07E+11,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2002,3.45E+11,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2003,4.30E+11,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2004,5.91E+11,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2005,7.64E+11,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2006,9.90E+11,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2007,1.30E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2008,1.66E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2009,1.22E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2010,1.52E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2011,2.05E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2012,2.21E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2013,2.29E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2014,2.06E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2015,1.36E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2016,1.28E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2017,1.57E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2018,1.66E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2019,1.69E+12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2020,1.48E+12,,,,,,,,,,,,,,,,,,
China,CHN,2001,1.34E+12,,,,,,,,,,,,,,,,,,
China,CHN,2002,1.47E+12,,,,,,,,,,,,,,,,,,
China,CHN,2003,1.66E+12,,,,,,,,,,,,,,,,,,
China,CHN,2004,1.96E+12,,,,,,,,,,,,,,,,,,
China,CHN,2005,2.29E+12,,,,,,,,,,,,,,,,,,
China,CHN,2006,2.75E+12,,,,,,,,,,,,,,,,,,
China,CHN,2007,3.55E+12,,,,,,,,,,,,,,,,,,
China,CHN,2008,4.59E+12,,,,,,,,,,,,,,,,,,
China,CHN,2009,5.10E+12,,,,,,,,,,,,,,,,,,
China,CHN,2010,6.09E+12,,,,,,,,,,,,,,,,,,
China,CHN,2011,7.55E+12,,,,,,,,,,,,,,,,,,
China,CHN,2012,8.53E+12,,,,,,,,,,,,,,,,,,
China,CHN,2013,9.57E+12,,,,,,,,,,,,,,,,,,
China,CHN,2014,1.05E+13,,,,,,,,,,,,,,,,,,
China,CHN,2015,1.11E+13,,,,,,,,,,,,,,,,,,
China,CHN,2016,1.12E+13,,,,,,,,,,,,,,,,,,
China,CHN,2017,1.23E+13,,,,,,,,,,,,,,,,,,
China,CHN,2018,1.39E+13,,,,,,,,,,,,,,,,,,
China,CHN,2019,1.43E+13,,,,,,,,,,,,,,,,,,
China,CHN,2020,1.47E+13,,,,,,,,,,,,,,,,,,
Australia,AUS,2001,3.79E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2002,3.95E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2003,4.67E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2004,6.14E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2005,6.95E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2006,7.48E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2007,8.54E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2008,1.06E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2009,9.28E+11,,,,,,,,,,,,,,,,,,
Australia,AUS,2010,1.15E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2011,1.40E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2012,1.55E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2013,1.58E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2014,1.47E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2015,1.35E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2016,1.21E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2017,1.33E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2018,1.43E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2019,1.39E+12,,,,,,,,,,,,,,,,,,
Australia,AUS,2020,1.33E+12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
